No,日付,開始時間,終了時間,対応時間,UserID,機種,性別,相談内容,対応内容,特記事項,担当,場所,インポート日
1,2026-01-08,10:05:00,10:40:00,00:35:00,482-917-635,Android AQUOS sense4,女性,新規登録希望。娘さんに勧められてアプリを入れたいとのこと。,Playストアからインストール。アカウント作成（メールアドレス入力に時間がかかったが完了）。初期設定・歩数計設定（バッテリー最適化OFF・自動調整バッテリーOFF）まで実施。歩数カウント開始を確認。,,田中,デモ市民サービスセンター,2026-01-08 18:00:00
2,2026-01-08,10:45:00,11:10:00,00:25:00,753-284-196,iPhone SE (第3世代),女性,画面が真っ白でアプリが立ち上がらない。昨日まで普通に使えていた。,アプリを強制終了し再起動→改善せず。端末の電源OFF→再起動を実施したところアプリが正常に動作した。,アプリバージョンは最新。iOS 17.2。再起動で直ったが原因は不明。,鈴木,デモ市民サービスセンター,2026-01-08 18:00:00
3,2026-01-08,11:15:00,11:35:00,00:20:00,328-641-507,Android Pixel 8a,男性,ポイントの使い方がわからない。貯まったポイントをどうすればいいか。,アプリのメニュー→ポイント交換画面を開き交換先の選択方法と必要ポイント数を説明。実際の交換申請の流れを画面を見せながら案内。,,田中,デモ市民サービスセンター,2026-01-08 18:00:00
4,2026-01-08,13:00:00,13:30:00,00:30:00,619-853-274,Android OPPO A55s,女性,歩数がカウントされない。朝から歩いているのにずっと0のまま。,①設定→バッテリー→バッテリー最適化で「脳にいいアプリ」を「最適化しない」に変更 ②省電力モードを標準に変更 ③自動調整バッテリーをOFF ④端末を再起動。再起動後に歩数カウント開始を確認。,,佐藤,デモ市民サービスセンター,2026-01-08 18:00:00
5,2026-01-15,10:00:00,10:45:00,00:45:00,482-917-635,Android AQUOS sense4,女性,前回設定してもらったのにまた歩数が0になっている。,バッテリー最適化設定を確認→自動調整バッテリーがONに戻っていた。再度OFFに設定。省電力モードも標準に戻す。端末を再起動して歩数カウント正常を確認。,バッテリー最適化がONに戻っていた。定期的な確認が必要。同じお客様2回目の来所。,田中,デモ市民サービスセンター,2026-01-15 18:00:00
6,2026-01-15,10:50:00,11:30:00,00:40:00,947-362-518,Android arrows FCG02,女性,スライドパズルが難しすぎてできない。やり方を教えてほしい。,スライドパズルの基本操作を説明。L型の作り方（上段→右列→残り）を実演。アシストアイコンの作成方法を案内し、ホーム画面にショートカットを設置。練習していただくことにした。,,鈴木,デモ市民サービスセンター,2026-01-15 18:00:00
7,2026-01-15,11:35:00,11:55:00,00:20:00,185-729-463,京セラ BASIO4,女性,文字が小さくて画面が見づらい。,端末の設定→表示→文字サイズで「特大」に変更。画面の明るさも調整。アプリ内の文字も大きくなったことを確認。,らくらくスマホのため画面遷移が通常と異なる。設定画面の開き方を丁寧に説明。,佐藤,デモ市民サービスセンター,2026-01-15 18:00:00
8,2026-01-15,13:00:00,13:40:00,00:40:00,571-438-926,Android Galaxy A25,女性,機種変更してデータを引き継ぎたい。旧端末（AQUOS sense3）も持参。,旧端末でユーザーID・ニックネーム・生年月日を確認。新端末にアプリをインストールし「データ引継ぎ」からID+生年月日を入力。引継ぎ完了しポイント・履歴が移行されたことを確認。,,田中,デモ市民サービスセンター,2026-01-15 18:00:00
9,2026-01-22,10:10:00,10:35:00,00:25:00,328-641-507,Android Pixel 8a,男性,脳トレのジグソーパズルのやり方がよくわからない。,ジグソーパズルの画面を開き操作方法を説明。ピースのドラッグ&ドロップ、回転の仕方を実演。一緒に1問クリアまで付き添い。,,鈴木,デモ市民サービスセンター,2026-01-22 18:00:00
10,2026-01-22,10:40:00,11:20:00,00:40:00,864-215-739,iPhone SE (第3世代),女性,パスワードを忘れてログインできない。メールアドレスもうろ覚え。,ユーザIDを失念されていたので、ニックネーム・生年月日・名前をお伝えしIDを確認。パスワードリセットメールを送信し新しいパスワードを設定。ログイン成功を確認。,パスワードをメモ帳に書いて保管するよう案内。次回はメモを持参してくださいと伝えた。,佐藤,デモ市民サービスセンター,2026-01-22 18:00:00
